Pitch Sequence,Pitcher ID,At-Bat Outcome
"SL,SL,SL,SL",596001,field_out
"FF,ST,FF",543475,force_out
"FF,FF,CH,CB,SI",543475,field_out
"CB,FF,CB,FF,CB",608723,field_out
"FF,CH,FF,CB,FF",657508,field_out
"FF,CH,FC,CB",665152,strikeout
FF,670810,field_out
"SL,SL,SL",502085,strikeout
"FF,FF,FF,FF,CB",622098,walk
"FF,SL,FF,FF,SL,SL,FF",656731,strikeout
"SL,SL,SL",656731,force_out
"FF,SL",656731,field_out
"SI,CH,SI,CH,CH,SI,CH",570632,walk
"SI,SI",570632,single
"SI,FC,SI,CB",621389,force_out
"SI,CB,FC,FC",656234,strikeout
"SL,FF,SL",659275,field_out
"FC,FC,SI",621107,strikeout
"CB,CH,FC,SI,CB",621107,field_out
"SI,SI",687330,single
"SI,CB,CH",621389,field_out
SI,621389,double
"FF,FF,SL,FF,FF,FF",659275,walk
"FF,FF,FS,FF,SL,FF,FF,FS,FF",592773,strikeout
"SI,SI",593576,force_out
FF,664353,single
"SI,ST,ST,SI,ST,ST",664353,strikeout
"SI,SI,SI",664353,single
"SI,FF,CH,FF,FF,FF",605540,strikeout
"FF,CH,FF,FF,CH,FF",605540,strikeout
"FF,CH,CH",605540,field_out
"CH,CH",642207,grounded_into_double_play
"FF,FC,CB,CB,FC",650644,field_out
"FC,FC,CB",650644,field_error
"FF,CB,FF,FF",675916,walk
"FC,FC,FC",543243,field_out
"FF,FC",543243,field_error
SI,605347,field_out
SI,660896,field_out
"FF,FF,FS,FF,SL",608328,home_run
"SL,FF",669796,field_out
"FF,FF,FF,FF,CB,FF,FF",518886,walk
"CB,FC,FF,FF",554430,strikeout
"FC,SI,FC,ST",554430,field_error
"FF,SL,SL,FF",622554,home_run
"SL,SI,SI,SI,SI,SI",628708,home_run
"FF,CH,FF,CB,CH",665795,walk
CH,665795,field_out
"SI,SL,SL,SI",666129,field_out
"SL,SL,SL,FF,FF",677053,strikeout
"FF,CB,SL,CB",477132,strikeout
"SL,CB,SL,CB",477132,strikeout
"FF,SL,CB,SL",477132,strikeout
"SL,CH,FF,CH,CH",656578,double
"SL,SI",605540,field_out
"FF,SI",605540,field_out
"SL,SL,SI,FF",657265,strikeout
"FF,FC,CH,FF,FF,CH",608379,strikeout
"FF,FC,CH,CH",608379,field_out
"FF,FF",608379,double
"SI,SI",657612,grounded_into_double_play
"SL,FF,FS",592332,strikeout
"FF,FF,FS",592332,strikeout
"SL,FF,FS,FF",592332,single
FS,657024,grounded_into_double_play
"FF,FS,FF",489446,field_out
"FF,SL,FF",675911,strikeout
"SL,FF,SL,SL,FF,FF",675911,walk
"SL,CH,FF",675911,strikeout
"SI,SI,FS",643410,strikeout
"FF,SL,SL,SL",657006,strikeout
"SL,SL,FF,SL,SL",657006,strikeout
"SI,CH,CH,FC,CH",665871,strikeout
"CH,FF,FF",542585,field_out
"SL,FF,CH,SL,SL",605513,strikeout
SL,605513,single
"SL,FF,FC,CH",641302,field_out
"FF,CB,SI,SI",682051,walk
"FF,FC",542585,field_out
"SI,SL",605513,grounded_into_double_play
"CB,SI,CB,SI,CB",605513,double
"FC,FF,CH",641302,force_out
"SI,CH,FC,FC,CH,FC",641302,strikeout
SI,642100,field_out
"FF,SL,SL,CB",669302,field_out
"FF,SL",669302,field_out
"FF,SL",669302,force_out
"FC,FC,SI,FC,FC",605242,walk
"FF,SL,SL,FF,SL,SL,FF,FF",657006,strikeout
"SL,FF,SL",657006,field_out
"SL,FF,FF,SL,FF,FF",657006,strikeout
"ST,SI,SI,ST",605280,field_out
"SI,ST,ST,ST",650633,field_out
ST,650633,single
"ST,SI,SI,ST",657376,field_out
SI,657376,field_out
"FF,FF,FS",592773,field_out
"FF,FS,FF,FF,FS",593576,single
"CH,FF,FF,CB,CH",664353,strikeout
"CB,FF,CH,CB,CB,CH",664353,single
"FF,SL,SL,SL,SL",669854,strikeout
"FC,SL",502085,grounded_into_double_play
"FF,SL,FF,CH,CH,FF",622098,single
"SL,SL,FF,SL,SL,FF",656731,strikeout
"FF,FF,SL,SL,FF,CH",656731,field_out
"SL,FF,FF,SL",656731,strikeout
"FF,FF,ST",572403,strikeout
"FF,SL,CB,FF,FF",656427,walk
"FF,SL,FF,SL",656427,field_out
"FF,FF,SL,SL,FF,SL",664854,field_out
"FF,SL",656353,field_out
"SI,SI,SL,SI,SI,SL",663776,walk
"CB,SI,SI,SI,SI",663776,walk
"CB,CB,FF,CB,FF,FF",598264,field_out
FF,665795,field_out
"FF,CH,FF,CH,FF,CH",665795,field_out
"SI,SI,SI",666129,field_out
"SL,FF,FF",677053,double
"CH,SI,ST,FC,ST,CH",663658,field_out
CB,680686,single
"FF,SI,SL,CB,CB,SL",680686,walk
"SI,FF",680686,field_out
"SL,FF",641729,single
"FF,FF,SL,SL,FF,FF",675911,walk
"FF,FF,SL",675911,field_out
"FF,CH,CH",656578,field_out
"SI,FC,FC",543056,field_out
"FS,FS,FF,FS",642585,strikeout
FF,665152,single
"FF,CB,FF,FF,FF",665152,single
SI,672335,double
"CB,CB,SL,FF,SL,CB",669302,strikeout
"FF,SL",669302,home_run
"FF,FS,FS",669302,field_out
"ST,ST,FF,FF,FF",670036,field_out
"ST,SL,FF",656353,strikeout
"CB,SL",663776,field_out
"CB,FF,CH,CH",663776,single
"CB,SL,SL",663776,force_out
"FC,CB,CB",502085,single
"FF,CB",622098,field_out
"FF,FF,CH",656731,single
"FF,CB,FF",656731,single
"CB,CB,SL",656731,single
"FS,FS,FF,SL,FS,FF,FS",592773,walk
"FF,FS,SI,FS",593576,single
"CB,FF,SI",664353,field_out
"ST,SI,ST,CB,ST,ST",664353,walk
"FF,SL,SL,FF,FF",669854,field_out
"SL,FS,SL,SI,SI,SL,SI",502171,strikeout
"FS,FS",502171,field_out
"ST,SI,SI",573124,field_out
SL,596001,field_out
"SI,SI,SL,SL,SL",605513,single
"SL,SI,SI,SL,FF,SL",605513,walk
"FF,FF,SL,SL,FF",622259,double
"CH,FC,FC,FF,FC",641302,home_run
"SL,SL,FF,SI,SI",682051,strikeout
"ST,SI,ST",493603,field_out
"SL,SL,FF,SL",656731,field_out
"FF,SL,SL,FF,SL,SL,FF",656731,strikeout
"SL,FF,SL,SL,SL,SL",656731,field_out
SI,594580,grounded_into_double_play
"FC,FS,FS,SL,FF,FC",660261,walk
"FC,FF,FF,CB,FF,CB,FF,FF",670124,walk
CH,670124,field_out
"FC,CB,CH",670124,field_error
"FF,FC,ST",572403,strikeout
"SL,CB,FF,SL,FF,FF,SL",656427,walk
SL,656427,field_out
"SI,SI,SI",663855,force_out
"FF,FF,FF,CB,FF,FF",448179,strikeout
"FF,FF,FF,CB,FF,CB",448179,walk
"FF,SL,SL,FF,FF",571656,field_out
"FF,FF,CB,FF,CH",666157,single
"FF,CH,CH,FF,FF,FF",666157,walk
"SI,CB,CB,SI,FF,CH",666157,strikeout
"FC,CH,CB",621107,strikeout
"CH,CB,FC",621107,field_out
"ST,SI,SI,ST",676534,single
"FC,SI,FC,FC",687330,field_out
"SL,SI",519242,single
"SL,SI,SL,FF",519242,home_run
"CH,SI",670167,grounded_into_double_play
"FC,FC,FC",670174,field_out
"CB,FC,FF,FF,FS",543135,strikeout
"FS,CB,FF",543135,field_out
FC,543135,field_out
"SI,FC",641540,field_out
"FF,FF,CB",623433,field_out
"FF,FF",675911,double
"FF,FF,FF,SL",675911,single
"FC,FC,ST",543056,strikeout
"FF,FF,FC,FF,FF,FF",665152,field_out
"FF,CB,FC,FC",665152,home_run
"FF,FF",669211,field_out
"SI,SI,SL",672335,field_out
"SL,FF,SL",656353,strikeout
"CB,SL,CH,SL,CH,CH",663776,field_error
"CB,CH,CH",663776,home_run
"FF,FF",592773,field_out
"FS,FF,FS,FF,FS",593576,strikeout
"ST,CH,CB,FF",664353,home_run
"CB,CB,CH,FF,CB",664353,strikeout
"CB,SL,SL,CH,SL,SL",669854,strikeout
"FS,FS,SI",544727,field_out
"FC,FS,FS",660261,field_out
"FF,FF",660261,single
"FF,FC,CH,FC,CB,CB",670124,strikeout
"CH,FC",670124,single
"ST,ST,ST,ST,ST",663658,field_out
"FS,FC",665048,grounded_into_double_play
"SL,SL,SL",680686,home_run
"FF,SL,FF,FC,FC,SL",680686,field_out
"CB,CB,FC,CB,FC,SL",680686,strikeout
"FS,FS,FF",489446,home_run
"SL,FF,FF,FF,SL",675911,strikeout
"FF,FF,SL,FF",675911,field_out
FF,675911,single
"CB,CH,FC,CH",608379,field_out
FC,608379,field_out
"CH,CH,CH,SI,CH,CH,FF",608379,strikeout
"SI,SI,SI,SI,SI,SI,CH",623352,strikeout
"SI,SI,SI,SL,SL",650895,strikeout
"FF,FF,FF,FF,FF,SL",669302,field_out
"CB,SL,SL,FF,CB",669302,strikeout
"ST,ST,ST",670036,field_out
"FC,FC,CH,FC,FC,FC,SI",493603,strikeout
"FF,CH,CH,FF",642701,field_out
"FF,FF,FF,FF,FF",656731,walk
"FF,CH",656731,double
"FC,ST",605242,single
